       ID    Y.1 Y.2  Y.3  Y.4  Y.5  Y.6  Y.7  Y.8    Z
    705810  380  377  460  472  495  566  637  628  120
    706310  362  382  392  475  475  543  601  576   95
    706810  387  405  438  418  484  533  570  589   99
    708310  342  368  408  422  470  543  493  589  101
    711310  335  372  450  424  500  510  540  583  109
    712810  362  444  473  482  567  597  651  655  115
    714810  354  409  410  445  460  540  567  620  115
    716310  365  381  455  482  533  554  591  602  109
    716810  359  371  438  452  497  591  573  593  107
    719310  312  366  387  383  422  463  506  478   84
    720310  322  377  420  438  500  506  506  544  113
    721810  342  409  438  460  506  519  540  602  119
    725310  359  424  438  414  475  476  514  510  101
    725810  292  333  356  375  348  414  446  419   73
    728810  326  370  402  455  497  533  549  593  113
    731810  312  416  411  438  492  519  561  586  116
    732810  331  403  432  466  500  536  579  637  119
    734310  340  395  422  416  453  530  529  548  113
    735310  324  389  422  431  506  547  537  576  104
    742310  298  375  392  440  480  457  503  576   97
    743810  327  381  429  455  523  543  570  602  110
    744810  331  390  400  431  477  491  549  628  104
    746310  368  399  467  490  503  558  594  628  110
    746810  327  414  438  482  512  543  598  616  109
    747810  303  347  408  450  506  516  558  596  115
    748810  326  357  411  420  472  530  523  586   97
    751310  298  316  350  385  394  451  433  382   88
    751810  292  334  356  412  432  446  446  537   89
    752310  329  444  467  558  577  662  708  728  109
    756811  340  421  426  466  503  510  543  566  105
    758311  290  339  387  440  430  491  509  518   88
    759311  368  398  460  538  519  523  608  624  114
    760311  342  437  455  490  523  540  631  648  110
    765811  342  389  435  452  503  533  585  596  104
    768811  336  393  432  442  503  554  608  596  121
    770311  347  381  422  458  519  550  582  624  116
    770811  320  332  359  378  436  418  493  525   81
    773311  319  382  435  431  509  533  549  583  116
    775311  365  456  473  548  538  558  651  701  107
    776311  349  376  432  452  490  513  534  593  122
    777311  330  349  400  431  482  476  509  566   93
    777811  380  414  442  478  506  523  601  637  126
    778811  362  421  467  494  538  585  660  620  123
    779811  376  444  460  490  577  558  588  643  113
    780311  314  359  389  406  458  468  468  514   97
    781311  376  352  385  447  465  506  517  525   83
    782311  354  366  422  422  472  497  529  551  125
    784311  376  430  455  472  503  554  601  655   98
    786311  356  379  432  438  472  503  549  555  127
    787811  387  364  473  494  516  540  616  602  119
    788312  305  321  372  394  434  494  482  506   97
    789812  336  377  435  463  503  530  531  488   91
    791312  295  343  400  433  470  500  531  573   93
    792812  331  409  390  463  463  526  591  579  105
    793312  344  416  446  472  528  570  594  648  107
    794312  342  375  415  460  509  570  612  670  109
    794812  322  337  352  372  438  426  463  497   93
    799312  362  398  442  469  567  638  708  648  128
    802312  333  393  446  463  544  611  594  593  119
    806312  347  421  432  478  523  580  598  662  113
    806812  293  305  402  390  432  440  446  488   88
    807312  307  323  357  388  422  425  452  500   97
    810312  299  328  385  412  449  476  514  525  103
    812812  347  371  413  422  506  530  540  576  117
    816812  333  382  442  455  519  533  555  596  110
    838313  313  382  432  504  567  619  612  643  139
    844313  319  411  410  414  458  488  517  555   85
    846313  336  386  438  466  506  543  567  599  114
    847313  316  416  422  522  497  558  612  624  108
    847813  336  430  460  509  559  585  621  620  111
    848813  302  355  398  450  484  550  582  602   99
    849313  315  409  429  490  523  558  601  616  116
    858313  298  381  438  490  588  597  626  679  135
    860813  285  414  417  494  503  570  608  586  100
    868313  330  406  450  463  533  558  612  637  133
    872813  308  391  432  475  512  562  621  655  126
    873813  326  430  417  516  533  575  651  624  117
    877813  298  409  422  466  497  491  514  586  101
    878313  342  393  442  486  516  550  555  624   92
    879813  298  430  432  490  506  543  564  602   90
    885813  340  381  408  438  490  473  549  602  102
    887813  356  444  426  504  523  585  616  606  112
    891813  351  421  481  569  588  638  693  762  117
    892313  302  387  404  406  449  485  503  531   91
    896814  315  390  432  469  523  533  588  616  126
    901814  317  368  371  418  465  473  523  566   81
    903314  320  352  406  422  467  476  509  548  113
    905314  329  427  467  522  538  597  651  648  114
    906814  321  346  350  402  432  460  463  510   91
    907814  331  390  402  445  490  503  540  544  104
    912314  349  444  446  452  470  540  594  613  127
    912814  326  395  438  490  523  536  564  593  108
    916814  327  382  438  469  533  585  637  648  112
    920314  327  399  424  463  516  575  670  662  126
    922314  365  411  426  472  516  550  594  583  103
    923314  387  355  420  466  503  570  604  655  105
    925314  331  346  387  408  445  473  540  586  113
    926314  301  395  402  458  475  554  561  576  103
    927814  383  421  467  538  588  597  637  679  118
    930314  331  347  398  424  484  500  540  599   83
    931314  322  358  417  447  512  491  506  569  100
    934814  342  362  392  422  490  485  517  569   93
    939814  336  411  446  460  523  523  570  609  119
    943314  372  427  450  530  516  597  660  689  133
    943814  311  338  364  390  399  414  352  433   73
    946314  336  345  426  486  503  558  549  613   89
    948814  362  424  442  490  559  585  651  662  119
    952814  313  398  429  482  533  550  608  616  117
    954814  311  418  408  469  497  540  573  599  101
    955814  331  386  446  490  484  558  601  628   98
    958814  342  371  422  455  509  519  540  602  102
    959814  319  366  378  440  480  476  555  576   95
    961314  333  416  420  438  499  509  543  531  103
    962814  327  399  422  435  495  506  512  589   90
    966814  392  440  481  548  551  585  621  662  122
    968814  313  335  357  410  406  443  433  469   83
    969314  308  337  381  422  443  462  493  510  106
    970314  333  433  432  548  577  540  637  648  111
    972814  301  372  394  442  480  506  552  586   91
    975814  331  437  473  548  512  558  594  632  106
    980814  302  343  371  385  412  443  531  501   91
    981815  372  421  446  490  544  570  616  679  134
    982815  335  386  442  509  544  580  601  701  126
    985815  335  377  396  428  487  503  549  599  104
    993815  330  365  406  450  480  506  506  569  100
    994815  326  398  446  494  516  570  616  628  117
    996815  380  456  446  463  544  554  626  643  114
   1000815  338  367  415  466  465  506  579  689  113
   1002815  292  403  460  516  588  603  724  762  135
   1013315  320  377  426  447  497  540  582  609  110
   1023815  351  444  446  522  538  570  651  643  141
   1024815  344  430  460  538  538  566  670  679  139
   1028815  321  386  411  458  492  516  549  589  104
   1030815  330  437  450  516  559  603  616  713  113
   1031315  362  391  455  516  533  575  631  637  119
   1031815  321  387  415  482  490  558  579  589  107
   1039817  312  348  426  442  458  513  520  529  100
   1046317  304  370  446  438  470  516  531  616  110
   1046817  311  357  398  442  480  494  537  559   94
   1047817  330  389  400  438  477  488  534  555  109
   1054817  320  374  481  460  523  566  594  632  120
   1055317  311  389  417  440  480  503  573  579   96
   1161318  290  342  367  408  416  436  462  489   88
   1162318  306  364  417  435  465  494  546  606  103
   1166818  329  375  422  445  512  513  531  596  105
   1167818  305  374  410  490  495  580  598  599  111
   1168818  347  416  426  469  528  554  594  628  124
   1169318  305  330  398  442  465  468  520  559  105
   1174818  359  380  376  400  456  491  496  548   81
   1178818  372  393  400  424  465  503  591  624   92
   1180318  347  424  450  490  538  591  637  648  103
   1181318  362  384  389  435  460  506  514  583  108
   1187318  356  382  411  420  451  449  514  573   99
   1188318  323  375  359  431  463  485  564  589   91
   1189318  362  384  450  472  538  575  594  609  126
   1190818  307  304  390  396  434  468  458  501   97
   1192318  296  350  398  426  480  519  509  551   94
   1193318  323  347  402  392  465  482  440  534   93
   1194818  329  387  406  452  463  491  546  555   91
   1195318  320  332  364  411  440  447  494  496   88
   1198318  321  380  408  460  482  523  534  596  100
   1199318  316  340  357  422  425  473  468  479   88
   1200818  314  380  400  414  482  543  558  566   96
   1202818  328  391  438  455  506  516  514  576  120
   1203318  320  384  372  452  460  506  512  569  110
   1207818  323  403  400  469  503  550  526  624  115
   1208818  329  375  402  445  472  500  540  570   98
   1209818  347  444  426  472  512  597  588  670   96
   1211318  365  433  473  530  538  580  608  689  103
   1212818  342  359  385  422  456  516  509  569   96
   1215818  318  380  415  435  477  479  486  544   85
   1216318  302  387  361  390  395  449  517  525   82
   1219818  331  390  442  447  484  506  567  599   94
   1220818  329  384  420  447  506  570  552  576  105
   1224318  333  393  422  455  523  558  598  713  100
   1225318  304  352  390  392  424  445  454  473   93
   1227318  283  332  366  365  416  438  452  486   64
   1227818  306  352  415  438  477  513  509  562   94
   1230318  307  333  379  416  469  512  550  555   87
   1233318  349  416  408  486  495  530  588  624   99
   1234818  349  356  381  406  402  399  449  392  113
   1235818  314  339  392  420  470  491  558  586  110
   1236318  326  411  410  458  487  513  537  609   99
   1238318  327  375  413  438  472  530  561  583  114
   1240819  290  313  369  378  415  465  446  484   84
   1245819  319  325  350  394  399  452  440  479  101
   1248319  310  316  374  392  434  440  493  506   92
   1254319  335  380  392  463  492  506  555  596  101
   1255319  317  389  442  475  538  547  579  637  113
   1263319  376  386  390  447  492  510  588  579   97
   1266319  323  348  385  424  467  485  512  555   93
   1267319  362  398  415  460  480  497  570  655   99
   1267819  331  396  455  516  538  591  601  628  111
   1269319  340  348  362  408  438  457  512  544   91
   1271319  336  395  398  478  519  585  579  602  113
   1274319  326  362  356  433  467  468  496  521  106
   1274819  307  360  392  394  475  485  526  586   98
   1276319  331  379  422  426  487  479  509  548  106
   1282819  323  360  372  438  482  473  509  510   77
   1283319  342  387  413  463  490  503  570  579   96
   1283819  372  398  455  499  577  585  604  643  109
   1284819  359  414  481  478  559  597  621  624  111
   1285319  340  377  406  452  523  554  555  599  114
   1285819  372  401  413  463  528  550  558  602  135
   1286319  326  381  424  486  523  580  631  728  117
   1286819  342  369  429  463  482  540  552  620  109
   1289319  362  456  481  522  601  662  724  713  132
   1290819  351  395  422  509  538  562  576  593  116
   1291319  349  411  432  440  487  585  604  628  120
   1291819  342  371  400  435  490  468  489  555   92
   1292819  356  399  435  509  538  580  604  662  109
   1293319  313  374  429  460  519  543  564  624  113
   1293819  333  360  435  469  551  554  534  576   98
   1294319  327  421  446  490  544  585  637  662  129
   1295319  354  398  426  472  475  562  591  602  120
   1297820  320  389  420  455  500  513  573  632  125
   1300820  300  369  392  433  495  523  514  593  105
   1301320  310  334  376  414  436  497  526  479   97
   1305820  310  349  396  426  458  510  512  484   98
   1306320  324  456  429  482  516  562  601  616  112
   1309820  351  427  432  530  559  619  621  662  117
   1313320  338  395  417  463  512  543  555  602  116
   1314320  336  440  424  516  519  526  567  548  105
   1316820  307  341  369  420  441  462  512  514   90
   1318820  354  389  420  455  533  580  573  602  113
   1322320  354  375  424  438  512  530  594  593  104
   1323820  354  379  402  426  456  519  526  579   97
   1326320  359  367  422  458  492  611  621  655  132
   1330821  304  363  372  424  438  488  517  562   88
   1335321  362  387  420  440  472  526  588  599  124
   1337821  372  405  420  458  512  533  601  613  109
   1339821  365  409  460  538  533  585  670  728  121
   1340821  383  427  422  509  588  540  616  637  113
   1341821  365  409  473  478  588  638  693  662  123
   1342821  342  381  426  458  484  516  540  562  104
   1350821  342  403  455  452  538  591  651  679  127
   1352821  285  374  408  460  463  510  534  551   91
   1354821  310  403  422  466  516  533  608  632  114
   1355321  392  430  490  530  588  662  681  744  134
   1355821  299  337  356  371  383  425  454  440   94
   1357821  351  396  420  404  497  540  576  534  122
   1358321  359  382  442  504  577  533  631  689  131
   1359821  306  350  387  400  418  471  482  562  101
   1360821  295  364  411  478  472  510  561  613  106
   1361821  298  369  432  450  528  562  567  655  110
   1363821  372  430  490  569  551  603  651  728  145
   1366321  315  379  432  433  482  485  503  555   97
   1369821  328  363  359  404  432  482  549  551   91
   1371821  362  433  460  494  601  575  612  713  110
   1372321  320  390  381  398  467  485  514  566   93
   1374821  311  324  343  408  387  446  433  501   83
   1375321  383  355  402  442  470  485  573  602  123
   1375821  368  398  438  458  490  503  588  609  105
   1379821  356  389  410  428  467  503  546  593  109
   1380321  270  302  361  392  418  473  496  573   99
   1382821  340  314  379  406  436  497  514  521  100
   1383821  354  427  438  447  490  554  576  624  110
   1387817  335  411  415  499  533  550  570  655  113
   1388810  349  385  390  422  465  473  534  514  102
   6294313  295  393  378  422  428  457  523  521   90
   6297813  362  416  450  499  615  603  693  670  111
   6480820  328  401  455  486  559  591  604  662  118
   6481820  333  418  435  450  482  479  552  562   98
   6482820  383  440  460  499  519  611  621  643  118
   6640319  308  375  387  455  482  488  537  559  100
   6704312  333  399  446  442  519  523  591  616  102
   6723321  338  418  473  522  601  619  670  689  110
   6739321  340  374  411  396  456  485  503  555  108
   7003816  311  325  362  357  382  394  463  464   82
   7005316  335  352  387  445  472  503  526  569   82
   7005816  359  375  359  353  366  410  433  464   76
   7046311  316  364  404  428  458  479  514  544   92
   7077315  322  357  402  463  463  513  526  576  114
   7224814  315  364  402  428  470  523  503  573  117
  10136321  335  440  424  490  516  591  681  689  123
  11089315  308  389  432  458  516  554  585  606  107
  11090821  335  361  398  486  484  510  531  579   93
