ID time Y Z
1 705810 1 380 120
2 705810 2 377 120
3 705810 3 460 120
4 705810 4 472 120
5 705810 5 495 120
6 705810 6 566 120
7 705810 7 637 120
8 705810 8 628 120
9 706310 1 362 95
10 706310 2 382 95
11 706310 3 392 95
12 706310 4 475 95
13 706310 5 475 95
14 706310 6 543 95
15 706310 7 601 95
16 706310 8 576 95
17 706810 1 387 99
18 706810 2 405 99
19 706810 3 438 99
20 706810 4 418 99
21 706810 5 484 99
22 706810 6 533 99
23 706810 7 570 99
24 706810 8 589 99
25 708310 1 342 101
26 708310 2 368 101
27 708310 3 408 101
28 708310 4 422 101
29 708310 5 470 101
30 708310 6 543 101
31 708310 7 493 101
32 708310 8 589 101
33 711310 1 335 109
34 711310 2 372 109
35 711310 3 450 109
36 711310 4 424 109
37 711310 5 500 109
38 711310 6 510 109
39 711310 7 540 109
40 711310 8 583 109
41 712810 1 362 115
42 712810 2 444 115
43 712810 3 473 115
44 712810 4 482 115
45 712810 5 567 115
46 712810 6 597 115
47 712810 7 651 115
48 712810 8 655 115
49 714810 1 354 115
50 714810 2 409 115
51 714810 3 410 115
52 714810 4 445 115
53 714810 5 460 115
54 714810 6 540 115
55 714810 7 567 115
56 714810 8 620 115
57 716310 1 365 109
58 716310 2 381 109
59 716310 3 455 109
60 716310 4 482 109
61 716310 5 533 109
62 716310 6 554 109
63 716310 7 591 109
64 716310 8 602 109
65 716810 1 359 107
66 716810 2 371 107
67 716810 3 438 107
68 716810 4 452 107
69 716810 5 497 107
70 716810 6 591 107
71 716810 7 573 107
72 716810 8 593 107
73 719310 1 312 84
74 719310 2 366 84
75 719310 3 387 84
76 719310 4 383 84
77 719310 5 422 84
78 719310 6 463 84
79 719310 7 506 84
80 719310 8 478 84
81 720310 1 322 113
82 720310 2 377 113
83 720310 3 420 113
84 720310 4 438 113
85 720310 5 500 113
86 720310 6 506 113
87 720310 7 506 113
88 720310 8 544 113
89 721810 1 342 119
90 721810 2 409 119
91 721810 3 438 119
92 721810 4 460 119
93 721810 5 506 119
94 721810 6 519 119
95 721810 7 540 119
96 721810 8 602 119
97 725310 1 359 101
98 725310 2 424 101
99 725310 3 438 101
100 725310 4 414 101
101 725310 5 475 101
102 725310 6 476 101
103 725310 7 514 101
104 725310 8 510 101
105 725810 1 292 73
106 725810 2 333 73
107 725810 3 356 73
108 725810 4 375 73
109 725810 5 348 73
110 725810 6 414 73
111 725810 7 446 73
112 725810 8 419 73
113 728810 1 326 113
114 728810 2 370 113
115 728810 3 402 113
116 728810 4 455 113
117 728810 5 497 113
118 728810 6 533 113
119 728810 7 549 113
120 728810 8 593 113
121 731810 1 312 116
122 731810 2 416 116
123 731810 3 411 116
124 731810 4 438 116
125 731810 5 492 116
126 731810 6 519 116
127 731810 7 561 116
128 731810 8 586 116
129 732810 1 331 119
130 732810 2 403 119
131 732810 3 432 119
132 732810 4 466 119
133 732810 5 500 119
134 732810 6 536 119
135 732810 7 579 119
136 732810 8 637 119
137 734310 1 340 113
138 734310 2 395 113
139 734310 3 422 113
140 734310 4 416 113
141 734310 5 453 113
142 734310 6 530 113
143 734310 7 529 113
144 734310 8 548 113
145 735310 1 324 104
146 735310 2 389 104
147 735310 3 422 104
148 735310 4 431 104
149 735310 5 506 104
150 735310 6 547 104
151 735310 7 537 104
152 735310 8 576 104
153 742310 1 298 97
154 742310 2 375 97
155 742310 3 392 97
156 742310 4 440 97
157 742310 5 480 97
158 742310 6 457 97
159 742310 7 503 97
160 742310 8 576 97
161 743810 1 327 110
162 743810 2 381 110
163 743810 3 429 110
164 743810 4 455 110
165 743810 5 523 110
166 743810 6 543 110
167 743810 7 570 110
168 743810 8 602 110
169 744810 1 331 104
170 744810 2 390 104
171 744810 3 400 104
172 744810 4 431 104
173 744810 5 477 104
174 744810 6 491 104
175 744810 7 549 104
176 744810 8 628 104
177 746310 1 368 110
178 746310 2 399 110
179 746310 3 467 110
180 746310 4 490 110
181 746310 5 503 110
182 746310 6 558 110
183 746310 7 594 110
184 746310 8 628 110
185 746810 1 327 109
186 746810 2 414 109
187 746810 3 438 109
188 746810 4 482 109
189 746810 5 512 109
190 746810 6 543 109
191 746810 7 598 109
192 746810 8 616 109
193 747810 1 303 115
194 747810 2 347 115
195 747810 3 408 115
196 747810 4 450 115
197 747810 5 506 115
198 747810 6 516 115
199 747810 7 558 115
200 747810 8 596 115
201 748810 1 326 97
202 748810 2 357 97
203 748810 3 411 97
204 748810 4 420 97
205 748810 5 472 97
206 748810 6 530 97
207 748810 7 523 97
208 748810 8 586 97
209 751310 1 298 88
210 751310 2 316 88
211 751310 3 350 88
212 751310 4 385 88
213 751310 5 394 88
214 751310 6 451 88
215 751310 7 433 88
216 751310 8 382 88
217 751810 1 292 89
218 751810 2 334 89
219 751810 3 356 89
220 751810 4 412 89
221 751810 5 432 89
222 751810 6 446 89
223 751810 7 446 89
224 751810 8 537 89
225 752310 1 329 109
226 752310 2 444 109
227 752310 3 467 109
228 752310 4 558 109
229 752310 5 577 109
230 752310 6 662 109
231 752310 7 708 109
232 752310 8 728 109
233 756811 1 340 105
234 756811 2 421 105
235 756811 3 426 105
236 756811 4 466 105
237 756811 5 503 105
238 756811 6 510 105
239 756811 7 543 105
240 756811 8 566 105
241 758311 1 290 88
242 758311 2 339 88
243 758311 3 387 88
244 758311 4 440 88
245 758311 5 430 88
246 758311 6 491 88
247 758311 7 509 88
248 758311 8 518 88
249 759311 1 368 114
250 759311 2 398 114
251 759311 3 460 114
252 759311 4 538 114
253 759311 5 519 114
254 759311 6 523 114
255 759311 7 608 114
256 759311 8 624 114
257 760311 1 342 110
258 760311 2 437 110
259 760311 3 455 110
260 760311 4 490 110
261 760311 5 523 110
262 760311 6 540 110
263 760311 7 631 110
264 760311 8 648 110
265 765811 1 342 104
266 765811 2 389 104
267 765811 3 435 104
268 765811 4 452 104
269 765811 5 503 104
270 765811 6 533 104
271 765811 7 585 104
272 765811 8 596 104
273 768811 1 336 121
274 768811 2 393 121
275 768811 3 432 121
276 768811 4 442 121
277 768811 5 503 121
278 768811 6 554 121
279 768811 7 608 121
280 768811 8 596 121
281 770311 1 347 116
282 770311 2 381 116
283 770311 3 422 116
284 770311 4 458 116
285 770311 5 519 116
286 770311 6 550 116
287 770311 7 582 116
288 770311 8 624 116
289 770811 1 320 81
290 770811 2 332 81
291 770811 3 359 81
292 770811 4 378 81
293 770811 5 436 81
294 770811 6 418 81
295 770811 7 493 81
296 770811 8 525 81
297 773311 1 319 116
298 773311 2 382 116
